Date,Account,Amount,AccountNum
2022-01-31,6366 Covenant fund lunch program,-106.92,6366
2022-01-31,6366 Covenant fund lunch program,-205.1,6366
2022-01-31,6077 Audio Sound Expenses,-1820.34,6077
2022-01-31,6077 Audio Sound Expenses,-26.67,6077
2022-01-31,6077 Audio Sound Expenses,-597.0,6077
2022-01-31,6077 Audio Sound Expenses,-370.88,6077
2022-01-31,6077 Audio Sound Expenses,-449.0,6077
2022-01-31,6077 Audio Sound Expenses,-32.99,6077
2022-01-31,6077 Audio Sound Expenses,-97.31,6077
2022-01-31,7085 Repairs/Maint 12N Church,-23.66,7085
2022-01-31,7100 Supplies/Cleaning,-35.59,7100
2022-01-31,7100 Supplies/Cleaning,-72.72,7100
2022-01-31,9061 Contract Services,-107.99,9061
2022-01-31,9005 Internet/comp. repair,-19.99,9005
2022-01-31,9061 Contract Services,-59.99,9061
2022-01-31,9061 Contract Services,-48.6,9061
2022-01-31,6077 Audio Sound Expenses,-34.25,6077
2022-01-31,9020 Equipment,-849.99,9020
2022-01-31,9025 Office Supplies,-51.03,9025
2022-01-31,9025 Office Supplies,-10.98,9025
2022-01-31,9025 Office Supplies,-9.99,9025
2022-01-31,9025 Office Supplies,-44.52,9025
2022-01-31,9025 Office Supplies,-16.19,9025
2022-01-31,9025 Office Supplies,-20.71,9025
2022-01-31,9035 Paper,-89.96,9035
2022-01-31,9055 Staff Searches,-233.17,9055
2022-01-31,9061 Contract Services,-37.24,9061
2022-01-31,5055 Retirement APA,-755.32,5055
2022-01-31,5035 Retirement Maintenance,-174.12,5035
2022-01-31,5004 Retirement Administration,-166.64,5004
2022-01-31,9123 Retirement Communication Specialist,-133.28,9123
2022-01-31,4053 Misc Income,2.43,4053
2022-01-31,9030 Other Admin Expense,-25.0,9030
2022-02-01,4054 Rental Income,1150.0,4054
2022-02-01,6020 Instrument Maintenance,-135.0,6020
2022-02-01,7100 Supplies/Cleaning,-674.68,7100
2022-02-01,5014 Medical Sr. Pastor,-1548.74,5014
2022-02-02,8035 Payroll Processing,-350.0,8035
2022-02-02,5017 Business & Auto Expense Sr. Pastor,-33.35,5017
2022-02-02,5017 Business & Auto Expense Sr. Pastor,-13.5,5017
2022-02-02,6030 Misc Worship Expense,-39.95,6030
2022-02-02,5017 Business & Auto Expense Sr. Pastor,-143.94,5017
2022-02-02,9007 Audio Visual Contract Services,-250.0,9007
2022-02-02,6075 Vespers,-100.0,6075
2022-02-03,6366 Covenant fund lunch program,-167.29,6366
2022-02-03,6366 Covenant fund lunch program,-16.38,6366
2022-02-07,4021 Charitable Distributions,6000.0,4021
2022-02-07,6077 Audio Sound Expenses,-543.96,6077
2022-02-07,6366 Covenant fund lunch program,-206.9,6366
2022-02-07,6366 Covenant fund lunch program,-57.81,6366
2022-02-07,4012 Non Pledge Contributions,430.0,4012
2022-02-07,4013 Vespers Offering,103.0,4013
2022-02-07,4022 Wednesday Lunch Offering,394.0,4022
2022-02-08,6035 Music and Rights,-214.0,6035
2022-02-08,6035 Music and Rights,-405.0,6035
2022-02-08,6120 Family Programming,-98.02,6120
2022-02-08,7010 Electricity 10N Church,-1.11,7010
2022-02-08,7015 Electricity 12N Church,-1329.33,7015
2022-02-08,7050 Fuel 8N Church,-1116.63,7050
2022-02-08,7025 Electricity Parking Lot,-65.6,7025
2022-02-08,7040 Fuel 10N Church,-262.37,7040
2022-02-08,9015 Copier-Cannon/Rent & Maintenance,-17.98,9015
2022-02-08,6809 Media,-100.0,6809
2022-02-08,6077 Audio Sound Expenses,-165.0,6077
2022-02-09,7115 Taxes & Water,-329.31,7115
2022-02-09,5015 Retirement Sr. Pastor,-945.0,5015
2022-02-09,5019 Disability Life,-101.25,5019
2022-02-11,4053 Misc Income,5.34,4053
2022-02-11,5013 Wages Sr. Pastor,-246.58,5013
2022-02-11,5018 Housing Sr. Pastor,-151.58,5018
2022-02-11,5016 Social Security Offset Sr. Pastor,-24.68,5016
2022-02-11,5053 Wages APA,-231.02,5053
2022-02-11,5058 Housing Expense APA,-150.7,5058
2022-02-11,5056 Social Security Offset APA,-23.36,5056
2022-02-11,6373 Wages Mission Coordinator,-129.48,6373
2022-02-11,5003 Wages Administration,-49.62,5003
2022-02-11,5043 Wages Music,-204.28,5043
2022-02-11,5033 Wages Maintenance,-762.99,5033
2022-02-11,5073 Wages Youth,-77.68,5073
2022-02-11,8025 NYS Unemployment Insurance,-30.6,8025
2022-02-11,6374 FICA Mission Cordinator,-9.91,6374
2022-02-11,5002 FICA Administration,-3.8,5002
2022-02-11,5042 FICA Music,-15.62,5042
2022-02-11,5032 FICA Maintenance,-58.36,5032
2022-02-11,5072 FICA Youth,-5.95,5072
2022-02-11,4053 Misc Income,14.3,4053
2022-02-11,5013 Wages Sr. Pastor,-2213.08,5013
2022-02-11,5018 Housing Sr. Pastor,-1361.03,5018
2022-02-11,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-02-11,5053 Wages APA,-2073.43,5053
2022-02-11,5058 Housing Expense APA,-1352.56,5058
2022-02-11,5056 Social Security Offset APA,-209.81,5056
2022-02-11,6373 Wages Mission Coordinator,-1162.16,6373
2022-02-11,5003 Wages Administration,-4874.09,5003
2022-02-11,5043 Wages Music,-1682.78,5043
2022-02-11,5033 Wages Maintenance,-3433.42,5033
2022-02-11,5073 Wages Youth,-697.49,5073
2022-02-11,6075 Vespers,-1000.0,6075
2022-02-11,8025 NYS Unemployment Insurance,-295.55,8025
2022-02-11,6374 FICA Mission Cordinator,-88.9,6374
2022-02-11,5002 FICA Administration,-366.97,5002
2022-02-11,5042 FICA Music,-128.74,5042
2022-02-11,5032 FICA Maintenance,-260.49,5032
2022-02-11,5072 FICA Youth,-53.35,5072
2022-02-15,7075 Regular Services,-313.38,7075
2022-02-15,4012 Non Pledge Contributions,34.0,4012
2022-02-15,4013 Vespers Offering,185.0,4013
2022-02-15,4022 Wednesday Lunch Offering,122.0,4022
2022-02-15,8035 Payroll Processing,-104.6,8035
2022-02-15,4023 Online Giving Fee,19.54,4023
2022-02-15,4013 Vespers Offering,425.0,4013
2022-02-15,4010 Current Year Pledges,3749.04,4010
2022-02-15,4012 Non Pledge Contributions,-34.0,4012
2022-02-15,4013 Vespers Offering,-185.0,4013
2022-02-15,4022 Wednesday Lunch Offering,-122.0,4022
2022-02-15,4010 Current Year Pledges,2920.0,4010
2022-02-15,4012 Non Pledge Contributions,34.0,4012
2022-02-15,4013 Vespers Offering,185.0,4013
2022-02-15,4022 Wednesday Lunch Offering,122.0,4022
2022-02-16,9015 Copier-Cannon/Rent & Maintenance,-643.0,9015
2022-02-16,9015 Copier-Cannon/Rent & Maintenance,-53.96,9015
2022-02-16,9015 Copier-Cannon/Rent & Maintenance,-69.7,9015
2022-02-17,7085 Repairs/Maint 12N Church,-285.0,7085
2022-02-17,5057 Business & Auto Expense APA,-8.49,5057
2022-02-17,5057 Business & Auto Expense APA,-8.0,5057
2022-02-17,5057 Business & Auto Expense APA,-10.53,5057
2022-02-17,6065 Special Worship,-95.96,6065
2022-02-17,6065 Special Worship,-20.0,6065
2022-02-17,5057 Business & Auto Expense APA,-45.0,5057
2022-02-17,5051 Continuing Ed Assoc. Pastor,-32.98,5051
2022-02-17,5051 Continuing Ed Assoc. Pastor,-21.64,5051
2022-02-17,5057 Business & Auto Expense APA,-5.18,5057
2022-02-17,6450 Small Groups,-14.99,6450
2022-02-17,6065 Special Worship,-7.48,6065
2022-02-17,5057 Business & Auto Expense APA,-413.61,5057
2022-02-17,5057 Business & Auto Expense APA,-10.43,5057
2022-02-17,6450 Small Groups,-14.99,6450
2022-02-17,5057 Business & Auto Expense APA,-8.49,5057
2022-02-17,5057 Business & Auto Expense APA,-8.0,5057
2022-02-17,4021 Charitable Distributions,700.0,4021
2022-02-17,4021 Charitable Distributions,520.0,4021
2022-02-17,6322 Minister Discretionary (Carlson),-50.0,6322
2022-02-17,6065 Special Worship,7.48,6065
2022-02-17,6065 Special Worship,20.0,6065
2022-02-17,5057 Business & Auto Expense APA,-20.0,5057
2022-02-17,5057 Business & Auto Expense APA,-7.48,5057
2022-02-17,6065 Special Worship,95.96,6065
2022-02-17,6030 Misc Worship Expense,-95.96,6030
2022-02-22,6077 Audio Sound Expenses,-100.0,6077
2022-02-22,4052 Facility Use Income,200.0,4052
2022-02-22,4012 Non Pledge Contributions,424.56,4012
2022-02-22,4013 Vespers Offering,210.0,4013
2022-02-22,4012 Non Pledge Contributions,-35.0,4012
2022-02-22,4017 Special Offering,35.0,4017
2022-02-23,6115 Curriculum Church School,-76.44,6115
2022-02-23,5011 Continuing Ed Sr. Pastor,-75.0,5011
2022-02-23,6319 Minister Discretionary Sr. Minister,-20.0,6319
2022-02-23,5017 Business & Auto Expense Sr. Pastor,-13.2,5017
2022-02-23,5054 Medical  APA,-1837.1,5054
2022-02-23,6410 Devotional Literature,-19.08,6410
2022-02-23,8015 Insurance,-5450.88,8015
2022-02-23,9060 Telephone & Internet,-166.83,9060
2022-02-23,9005 Internet/comp. repair,-166.82,9005
2022-02-23,5014 Medical Sr. Pastor,-58.55,5014
2022-02-23,5005 Medical Administration,-29.27,5005
2022-02-23,5054 Medical  APA,-58.55,5054
2022-02-23,5005 Medical Administration,58.54,5005
2022-02-23,5034 Medical Maintenance,-563.56,5034
2022-02-23,5005 Medical Administration,-886.19,5005
2022-02-24,7010 Electricity 10N Church,-28.21,7010
2022-02-24,7015 Electricity 12N Church,-1585.61,7015
2022-02-24,7045 Fuel 12N Church,-1041.02,7045
2022-02-24,7050 Fuel 8N Church,-2471.38,7050
2022-02-24,7040 Fuel 10N Church,-568.22,7040
2022-02-24,8035 Payroll Processing,-121.82,8035
2022-02-24,4053 Misc Income,14.3,4053
2022-02-24,5013 Wages Sr. Pastor,-2213.08,5013
2022-02-24,5018 Housing Sr. Pastor,-1361.03,5018
2022-02-24,5016 Social Security Offset Sr. Pastor,-209.25,5016
2022-02-24,5053 Wages APA,-2073.43,5053
2022-02-24,5058 Housing Expense APA,-1352.56,5058
2022-02-24,5056 Social Security Offset APA,-198.13,5056
2022-02-24,6373 Wages Mission Coordinator,-1162.16,6373
2022-02-24,5003 Wages Administration,-4719.86,5003
2022-02-24,5043 Wages Music,-1682.78,5043
2022-02-24,5033 Wages Maintenance,-3760.99,5033
2022-02-24,5073 Wages Youth,-658.45,5073
2022-02-24,8025 NYS Unemployment Insurance,-298.9,8025
2022-02-24,6374 FICA Mission Cordinator,-88.9,6374
2022-02-24,5002 FICA Administration,-355.18,5002
2022-02-24,5042 FICA Music,-128.74,5042
2022-02-24,5032 FICA Maintenance,-285.55,5032
2022-02-24,5072 FICA Youth,-50.37,5072
2022-02-27,4012 Non Pledge Contributions,827.0,4012
2022-02-27,4013 Vespers Offering,30.0,4013
2022-02-28,7051 Solar Energy 10 N Church,-52.88,7051
2022-02-28,5055 Retirement APA,-834.86,5055
2022-02-28,5053 Wages APA,-230.52,5053
2022-02-28,5004 Retirement Administration,-166.64,5004
2022-02-28,9123 Retirement Communication Specialist,-133.28,9123
2022-02-28,8022 Finance Charge Online Giving,-37.97,8022
2022-02-28,4053 Misc Income,1.53,4053
2022-02-28,5005 Medical Administration,-29.27,5005
2022-02-28,7051 Solar Energy 10 N Church,43.65,7051
2022-02-28,7052 Solar 12 N Church,-13.26,7052
2022-02-28,7053 Solar 8 N Church,-23.83,7053
2022-02-28,7054 Solar Parking Lot,-6.56,7054
2022-02-28,8035 Payroll Processing,-109.52,8035
2022-03-01,7075 Regular Services,-325.0,7075
2022-03-01,7075 Regular Services,-415.0,7075
2022-03-01,5014 Medical Sr. Pastor,-1548.74,5014
2022-03-01,7110 Supplies/Materials (Maint.),-134.87,7110
2022-03-01,6310 Local Concerns,-6000.0,6310
2022-03-01,6310 Local Concerns,-1000.0,6310
2022-03-01,6310 Local Concerns,-1000.0,6310
2022-03-01,4021 Charitable Distributions,5000.0,4021
2022-03-02,4054 Rental Income,1150.0,4054
2022-03-02,6366 Covenant fund lunch program,-30.72,6366
2022-03-07,6410 Devotional Literature,-7.0,6410
2022-03-07,4001 Classis Assessments,220.0,4001
2022-03-07,4052 Facility Use Income,25.0,4052
2022-03-07,4012 Non Pledge Contributions,340.0,4012
2022-03-07,4013 Vespers Offering,96.0,4013
2022-03-07,4022 Wednesday Lunch Offering,528.0,4022
2022-03-08,8010 Classis Assessments,-9963.92,8010
2022-03-08,6030 Misc Worship Expense,-97.12,6030
2022-03-08,9015 Copier-Cannon/Rent & Maintenance,-10.0,9015
2022-03-08,9015 Copier-Cannon/Rent & Maintenance,-596.16,9015
2022-03-08,7051 Solar Energy 10 N Church,-4.39,7051
2022-03-08,7051 Solar Energy 10 N Church,-11.34,7051
2022-03-08,7051 Solar Energy 10 N Church,-6.36,7051
2022-03-08,7051 Solar Energy 10 N Church,-3.12,7051
2022-03-08,4021 Charitable Distributions,2500.0,4021
2022-03-08,4021 Charitable Distributions,6900.0,4021
2022-03-08,4053 Misc Income,14.1,4053
2022-03-08,4052 Facility Use Income,400.0,4052
2022-03-08,7051 Solar Energy 10 N Church,20.82,7051
2022-03-08,7052 Solar 12 N Church,-6.36,7052
2022-03-08,7053 Solar 8 N Church,-11.34,7053
2022-03-08,7054 Solar Parking Lot,-3.12,7054
2022-03-09,4055 Flower Income,40.0,4055
2022-03-09,8125 Supplies Archives,-100.0,8125
2022-03-09,4001 Classis Assessments,822.02,4001
2022-03-09,4010 Current Year Pledges,3043.16,4010
2022-03-09,4023 Online Giving Fee,14.87,4023
2022-03-09,4052 Facility Use Income,100.0,4052
2022-03-09,4055 Flower Income,30.0,4055
2022-03-09,4013 Vespers Offering,10.0,4013
2022-03-09,4001 Classis Assessments,-822.02,4001
2022-03-09,4010 Current Year Pledges,-3043.16,4010
2022-03-09,4023 Online Giving Fee,-14.87,4023
2022-03-09,4052 Facility Use Income,-100.0,4052
2022-03-09,4055 Flower Income,-30.0,4055
2022-03-09,4013 Vespers Offering,-10.0,4013
2022-03-09,4001 Classis Assessments,822.02,4001
2022-03-09,4010 Current Year Pledges,2923.16,4010
2022-03-09,4023 Online Giving Fee,14.04,4023
2022-03-09,4052 Facility Use Income,100.0,4052
2022-03-09,4013 Vespers Offering,10.0,4013
2022-03-11,4053 Misc Income,14.3,4053
2022-03-11,5013 Wages Sr. Pastor,-2213.08,5013
2022-03-11,5018 Housing Sr. Pastor,-1361.03,5018
2022-03-11,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-03-11,5053 Wages APA,-2073.43,5053
2022-03-11,5058 Housing Expense APA,-1352.56,5058
2022-03-11,5056 Social Security Offset APA,-209.81,5056
2022-03-11,6373 Wages Mission Coordinator,-1162.16,6373
2022-03-11,5003 Wages Administration,-2619.01,5003
2022-03-11,5043 Wages Music,-2058.08,5043
2022-03-11,9121 Wages Communication Specialist,-1666.0,9121
2022-03-11,5033 Wages Maintenance,-3760.99,5033
2022-03-11,5073 Wages Youth,-736.53,5073
2022-03-11,6075 Vespers,-1200.0,6075
2022-03-11,8025 NYS Unemployment Insurance,-237.64,8025
2022-03-11,6374 FICA Mission Cordinator,-88.9,6374
2022-03-11,5002 FICA Administration,-194.46,5002
2022-03-11,9122 FICA Communication Specialist,-127.45,9122
2022-03-11,5042 FICA Music,-157.45,5042
2022-03-11,5032 FICA Maintenance,-285.55,5032
2022-03-11,5072 FICA Youth,-56.34,5072
2022-03-14,4010 Current Year Pledges,86955.33,4010
2022-03-14,6075 Vespers,-200.0,6075
2022-03-14,4010 Current Year Pledges,2270.0,4010
2022-03-14,4012 Non Pledge Contributions,5.0,4012
2022-03-14,4052 Facility Use Income,50.0,4052
2022-03-14,4012 Non Pledge Contributions,440.0,4012
2022-03-14,4013 Vespers Offering,540.0,4013
2022-03-14,4022 Wednesday Lunch Offering,119.0,4022
2022-03-14,4001 Classis Assessments,1656.12,4001
2022-03-15,7100 Supplies/Cleaning,-69.28,7100
2022-03-15,5015 Retirement Sr. Pastor,-945.0,5015
2022-03-15,5019 Disability Life,-101.25,5019
2022-03-15,8022 Finance Charge Online Giving,-29.7,8022
2022-03-16,4044 Endowment First Futures Fund,5471.75,4044
2022-03-16,9025 Office Supplies,-13.99,9025
2022-03-16,9061 Contract Services,-16.19,9061
2022-03-16,9061 Contract Services,-29.98,9061
2022-03-16,9020 Equipment,-629.88,9020
2022-03-16,9055 Staff Searches,-37.0,9055
2022-03-16,6077 Audio Sound Expenses,-180.43,6077
2022-03-16,5059 Disability Life Associate Pastor,-773.52,5059
2022-03-16,6025 Misc Music Expense,-42.87,6025
2022-03-16,9025 Office Supplies,-35.69,9025
2022-03-16,9040 Postage,-174.0,9040
2022-03-16,9061 Contract Services,-0.05,9061
2022-03-16,7110 Supplies/Materials (Maint.),-46.28,7110
2022-03-16,9015 Copier-Cannon/Rent & Maintenance,-643.0,9015
2022-03-16,9015 Copier-Cannon/Rent & Maintenance,-53.96,9015
2022-03-16,6366 Covenant fund lunch program,-63.69,6366
2022-03-16,6366 Covenant fund lunch program,-87.96,6366
2022-03-16,6366 Covenant fund lunch program,-78.95,6366
2022-03-16,6366 Covenant fund lunch program,-34.92,6366
2022-03-16,6366 Covenant fund lunch program,-114.95,6366
2022-03-16,6366 Covenant fund lunch program,-163.3,6366
2022-03-16,6505 Honorariums,-55.09,6505
2022-03-16,6366 Covenant fund lunch program,-211.44,6366
2022-03-16,5014 Medical Sr. Pastor,-58.55,5014
2022-03-16,5054 Medical  APA,-58.55,5054
2022-03-16,5005 Medical Administration,-29.27,5005
2022-03-21,4010 Current Year Pledges,3551.0,4010
2022-03-21,4012 Non Pledge Contributions,5.0,4012
2022-03-21,4012 Non Pledge Contributions,210.0,4012
2022-03-21,4013 Vespers Offering,110.0,4013
2022-03-21,4001 Classis Assessments,1080.1,4001
2022-03-21,4052 Make Room One Time Pledge,1000.0,4052
2022-03-22,8035 Payroll Processing,-126.74,8035
2022-03-22,6305 Education (M&B),-150.0,6305
2022-03-22,9015 Copier-Cannon/Rent & Maintenance,-170.0,9015
2022-03-22,6515 Resources Grief Booklets,-43.78,6515
2022-03-22,6605 Churchwide Social Events,-28.3,6605
2022-03-22,9060 Telephone & Internet,-167.0,9060
2022-03-22,9005 Internet/comp. repair,-166.99,9005
2022-03-22,5054 Medical  APA,-1837.1,5054
2022-03-22,6405 Books (Library),-65.0,6405
2022-03-22,5034 Medical Maintenance,-563.56,5034
2022-03-22,5005 Medical Administration,-886.19,5005
2022-03-22,6075 Vespers,900.0,6075
2022-03-22,9007 Audio Visual Contract Services,-900.0,9007
2022-03-22,7075 Regular Services,-318.09,7075
2022-03-23,5057 Business & Auto Expense APA,-11.52,5057
2022-03-23,5057 Business & Auto Expense APA,-21.62,5057
2022-03-23,5057 Business & Auto Expense APA,-0.19,5057
2022-03-23,5057 Business & Auto Expense APA,-8.0,5057
2022-03-23,5057 Business & Auto Expense APA,-5.18,5057
2022-03-23,6450 Small Groups,-14.99,6450
2022-03-23,4041 Endowment Income,100000.0,4041
2022-03-27,4010 Current Year Pledges,3521.67,4010
2022-03-27,4031 Special Offerings,100.0,4031
2022-03-27,4012 Non Pledge Contributions,972.0,4012
2022-03-27,4017 Special Offering,610.0,4017
2022-03-27,4013 Vespers Offering,296.0,4013
2022-03-27,4001 Classis Assessments,1752.1,4001
2022-03-28,4061 McDonald Income,63000.0,4061
2022-03-28,4041 Endowment Income,55735.0,4041
2022-03-28,4055 Flower Income,1265.0,4055
2022-03-28,6076 Flowers Expenses,-1265.0,6076
2022-03-28,7090 Repairs/Maint 8N Church,-92389.0,7090
2022-03-28,5014 Medical Sr. Pastor,-1548.74,5014
2022-03-28,5057 Business & Auto Expense APA,-214.5,5057
2022-03-28,6076 Flowers Expenses,-40.0,6076
2022-03-28,8035 Payroll Processing,184.87,8035
2022-03-28,6077 Audio Sound Expenses,100.0,6077
2022-03-28,7010 Electricity 10N Church,-19.66,7010
2022-03-28,7015 Electricity 12N Church,-796.74,7015
2022-03-28,7045 Fuel 12N Church,-815.87,7045
2022-03-28,7020 Electricity 8N Church,-896.72,7020
2022-03-28,7050 Fuel 8N Church,-2043.86,7050
2022-03-28,7040 Fuel 10N Church,-450.56,7040
2022-03-28,5059 Disability Life Associate Pastor,-773.52,5059
2022-03-29,6366 Covenant fund lunch program,-9.99,6366
2022-03-29,6366 Covenant fund lunch program,-11.96,6366
2022-03-29,4053 Misc Income,14.07,4053
2022-03-29,5013 Wages Sr. Pastor,-2213.08,5013
2022-03-29,5018 Housing Sr. Pastor,-1361.03,5018
2022-03-29,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-03-29,5053 Wages APA,-2073.43,5053
2022-03-29,5058 Housing Expense APA,-1352.56,5058
2022-03-29,5056 Social Security Offset APA,-209.81,5056
2022-03-29,6373 Wages Mission Coordinator,-1162.16,6373
2022-03-29,5003 Wages Administration,-2765.33,5003
2022-03-29,5043 Wages Music,-1682.78,5043
2022-03-29,9121 Wages Communication Specialist,-1666.0,9121
